Boef,Kamer 1 ,2017-02-01 12:30:29.580918
Boef,Kamer 1 ,2017-02-01 12:30:29.731070
Boef,Kamer 1 ,2017-02-01 12:30:29.797080
Boef,Kamer 1 ,2017-02-01 12:30:30.250369
Boef,Kamer 1 ,2017-02-01 12:30:30.713792
Boef,Kamer 1 ,2017-02-01 12:30:30.977276
Boef,Kamer 1 ,2017-02-01 12:30:31.136927
Boef,Kamer 1 ,2017-02-01 12:30:31.336986
Boef,Kamer 1 ,2017-02-01 12:30:31.568983
Boef,Kamer 1 ,2017-02-01 12:30:31.753411
Boef,Kamer 1 ,2017-02-01 12:30:31.925884
Boef,Kamer 1 ,2017-02-01 12:30:32.285414
Boef,Kamer 1 ,2017-02-01 12:30:32.917394
Boef,Kamer 1 ,2017-02-01 12:31:22.147995
Boef,Kamer 1 ,2017-02-01 12:49:26.058689
Boef,Kamer 1 ,2017-02-01 12:49:27.567182
Boef,Kamer 1 ,2017-02-01 12:49:28.783131
