Id,Label,timeset,module,cached,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
0,clean,,no_module,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000848,0,0,0,0
1,clean,,:about,false,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000848,1,1,0,0
2,clean,,:bypass,false,0,0,0,0,0,0,0,0,0,0,0,0,2,0.000848,2,2,0,0
3,clean,,:dribbble,false,0,0,0,0,0,0,0,0,0,0,0,0,3,0.000848,3,3,0,0
4,clean,,:designernews,false,0,0,0,0,0,0,0,0,0,0,0,0,4,0.000848,4,4,0,0
5,clean,,:search,false,0,0,0,0,0,0,0,0,0,0,0,0,5,0.000848,5,5,0,0
6,clean,,:test_shared,false,0,0,0,0,0,0,0,0,0,0,0,0,6,0.000848,6,6,0,0
7,clean,,:app,false,0,0,0,0,0,0,0,0,0,0,0,0,7,0.000848,7,7,0,0
8,preBuild,,:about,false,1,0,1,1,0,1,0,0,0,0,0.002987,0,10,0.004034,8,8,0,0.074131
9,preBuild,,:bypass,false,1,0,1,1,0,1,0,0,0,0,0,0,11,0.053566,8,9,0,0.188542
10,preDebugBuild,,:bypass,false,21,1,22,21,1,22,1,1,1,271,0.003303,0,11,0.062042,8,10,0.060606,0.876273
11,compileDebugAidl,,:bypass,false,12,1,13,12,1,13,2,0.666667,0.75,25.066667,0.009348,0.000317,11,0.009563,8,11,0.089744,0.329072
12,compileDebugRenderscript,,:bypass,false,5,1,6,5,1,6,2,0.666667,0.75,2.166667,0.001349,0.000317,11,0.005593,8,12,0.2,0.171934
13,checkDebugManifest,,:bypass,false,2,1,3,2,1,3,2,0.666667,0.75,0,0.000062,0.000317,11,0.011562,8,13,0.333333,0.16853
14,clean,,:core,false,0,0,0,0,0,0,0,0,0,0,0,0,8,0.000848,9,14,0,0
15,preBuild,,:core,false,1,0,1,1,0,1,0,0,0,0,0,0,12,0.046318,8,15,0,0.21785
16,preDebugBuild,,:core,false,26,1,27,26,1,27,1,1,1,255,0.038752,0,12,0.053514,8,16,0.052707,1
17,compileDebugAidl,,:core,false,12,2,14,12,2,14,3,0.555556,0.666667,48.9,0.044253,0.004617,12,0.005961,8,17,0.082418,0.288535
18,checkDebugManifest,,:core,false,2,1,3,2,1,3,2,0.666667,0.75,0,0.000728,0.00372,12,0.010607,8,18,0.333333,0.176829
19,generateDebugBuildConfig,,:bypass,true,4,2,6,4,2,6,2,0.75,0.833333,42.447258,0.001336,0.000323,11,0.004234,8,19,0.233333,0.160276
20,generateDebugBuildConfig,,:core,true,5,2,7,5,2,7,2,0.75,0.833333,42.185354,0.034151,0.00379,12,0.003181,8,20,0.166667,0.19058
21,prepareLintJar,,:core,false,1,0,1,1,0,1,0,0,0,0,0.00105,0,12,0.001408,8,21,0,0.025583
22,generateDebugResValues,,:bypass,true,1,1,2,1,1,2,2,0.666667,0.75,1,0.000013,0.000317,11,0.002207,8,22,0,0.011658
