x,y,value
Active Life,Active Life,1.5
Art Galleries,Art Galleries,1.5
Bangladeshi,Bangladeshi,1.5
Beer Bar,Beer Bar,1.5
Brazilian,Brazilian,1.5
Breweries,Breweries,1.5
Cafes,Cafes,1.5
Cambodian,Cambodian,1.5
Caribbean,Caribbean,1.5
Cheese Shops,Cheese Shops,1.5
Cooking Classes,Cooking Classes,1.5
Country Dance Halls,Country Dance Halls,1.5
Cuban,Cuban,1.5
Cupcakes,Cupcakes,1.5
Dance Clubs,Dance Clubs,1.5
Delis,Delis,1.5
Dive Bars,Dive Bars,1.5
Dominican,Dominican,1.5
Egyptian,Egyptian,1.5
Ethnic Food,Ethnic Food,1.5
Event Planning & Services,Event Planning & Services,1.5
Falafel,Falafel,1.5
Fast Food,Fast Food,1.5
Filipino,Filipino,1.5
Fishing,Fishing,1.5
Fitness & Instruction,Fitness & Instruction,1.5
Food Court,Food Court,1.5
Food Delivery Services,Food Delivery Services,1.5
Gelato,Gelato,1.5
Hobby Shops,Hobby Shops,1.5
Hot Pot,Hot Pot,1.5
Indonesian,Indonesian,1.5
Italian,Italian,1.5
Jazz & Blues,Jazz & Blues,1.5
Laotian,Laotian,1.5
Latin American,Latin American,1.5
Live/Raw Food,Live/Raw Food,1.5
Meat Shops,Meat Shops,1.5
Mediterranean,Mediterranean,1.5
Middle Eastern,Middle Eastern,1.5
Nail Salons,Nail Salons,1.5
Persian/Iranian,Persian/Iranian,1.5
Personal Assistants,Personal Assistants,1.5
Piano Bars,Piano Bars,1.5
Pubs,Pubs,1.5
Shanghainese,Shanghainese,1.5
Spanish,Spanish,1.5
Specialty Food,Specialty Food,1.5
Vegetarian,Vegetarian,1.5
Wine Bars,Wine Bars,1.5
Shanghainese,Specialty Food,0.998040143617449
Specialty Food,Shanghainese,0.998040143617449
Art Galleries,Vegetarian,0.997869147388177
Vegetarian,Art Galleries,0.997869147388177
Food Delivery Services,Personal Assistants,0.997487028659452
Personal Assistants,Food Delivery Services,0.997487028659452
Dominican,Middle Eastern,0.996828474406482
Middle Eastern,Dominican,0.996828474406482
Bangladeshi,Cheese Shops,0.996391727911955
Cheese Shops,Bangladeshi,0.996391727911955
Country Dance Halls,Shanghainese,0.99604809590985
Shanghainese,Country Dance Halls,0.99604809590985
Beer Bar,Specialty Food,0.993091573441144
Specialty Food,Beer Bar,0.993091573441144
Cooking Classes,Spanish,0.99220154223257
Spanish,Cooking Classes,0.99220154223257
Dominican,Jazz & Blues,0.99156726918328
Jazz & Blues,Dominican,0.99156726918328
Cooking Classes,Egyptian,0.991327162289438
Egyptian,Cooking Classes,0.991327162289438
Falafel,Personal Assistants,0.990758316448817
Personal Assistants,Falafel,0.990758316448817
Cafes,Wine Bars,0.990476165224395
Wine Bars,Cafes,0.990476165224395
Cambodian,Falafel,0.989170438168097
Falafel,Cambodian,0.989170438168097
Event Planning & Services,Fitness & Instruction,0.98813506555887
Fitness & Instruction,Event Planning & Services,0.98813506555887
Fitness & Instruction,Jazz & Blues,0.98741575234684
Jazz & Blues,Fitness & Instruction,0.98741575234684
Food Delivery Services,Piano Bars,0.986660939570357
Piano Bars,Food Delivery Services,0.986660939570357
Jazz & Blues,Shanghainese,0.98584517764229
Shanghainese,Jazz & Blues,0.98584517764229
Cheese Shops,Cooking Classes,0.985120607006875
Cooking Classes,Cheese Shops,0.985120607006875
Breweries,Cheese Shops,0.984916962878666
Cheese Shops,Breweries,0.984916962878666
Active Life,Country Dance Halls,0.984457369671169
Country Dance Halls,Active Life,0.984457369671169
Cupcakes,Food Delivery Services,0.980405320155114
Food Delivery Services,Cupcakes,0.980405320155114
Falafel,Vegetarian,0.980265978142886
Vegetarian,Falafel,0.980265978142886
Cambodian,Cupcakes,0.979965440718505
Cupcakes,Cambodian,0.979965440718505
Cupcakes,Falafel,0.979845013975616
Falafel,Cupcakes,0.979845013975616
Cupcakes,Mediterranean,0.978127400794294
Mediterranean,Cupcakes,0.978127400794294
Delis,Falafel,0.976750088070978
Falafel,Delis,0.976750088070978
Art Galleries,Mediterranean,0.976647017518964
Mediterranean,Art Galleries,0.976647017518964
Cafes,Fast Food,0.976239270666063
Fast Food,Cafes,0.976239270666063
Egyptian,Laotian,0.976158212588872
Laotian,Egyptian,0.976158212588872
Bangladeshi,Filipino,0.975728133365014
Filipino,Bangladeshi,0.975728133365014
Cheese Shops,Falafel,0.975447062666666
Falafel,Cheese Shops,0.975447062666666
Cafes,Italian,0.974909510474411
Italian,Cafes,0.974909510474411
Country Dance Halls,Nail Salons,0.973521420206683
Nail Salons,Country Dance Halls,0.973521420206683
Brazilian,Live/Raw Food,0.971255022132217
Live/Raw Food,Brazilian,0.971255022132217
Delis,Nail Salons,0.332148374556776
Nail Salons,Delis,0.332148374556776
Ethnic Food,Event Planning & Services,0.331635481040279
Event Planning & Services,Ethnic Food,0.331635481040279
Indonesian,Middle Eastern,0.330720490806009
Middle Eastern,Indonesian,0.330720490806009
Cooking Classes,Fitness & Instruction,0.322939096905273
Fitness & Instruction,Cooking Classes,0.322939096905273
Bangladeshi,Cuban,0.321234280358362
Cuban,Bangladeshi,0.321234280358362
Piano Bars,Specialty Food,0.321083258409642
Specialty Food,Piano Bars,0.321083258409642
Brazilian,Jazz & Blues,0.318075663496638
Jazz & Blues,Brazilian,0.318075663496638
Italian,Laotian,0.316791907096898
Laotian,Italian,0.316791907096898
Fishing,Piano Bars,0.309221547681058
Piano Bars,Fishing,0.309221547681058
Breweries,Cafes,0.308009859043545
Cafes,Breweries,0.308009859043545
Cooking Classes,Delis,0.305526773997512
Delis,Cooking Classes,0.305526773997512
Brazilian,Gelato,0.297107846739551
Gelato,Brazilian,0.297107846739551
Hot Pot,Nail Salons,0.296674725105286
Nail Salons,Hot Pot,0.296674725105286
Bangladeshi,Nail Salons,0.296225548265546
Nail Salons,Bangladeshi,0.296225548265546
Event Planning & Services,Spanish,0.295567370262952
Spanish,Event Planning & Services,0.295567370262952
Bangladeshi,Food Delivery Services,0.295298504727007
Food Delivery Services,Bangladeshi,0.295298504727007
Bangladeshi,Hot Pot,0.293516528322168
Hot Pot,Bangladeshi,0.293516528322168
Italian,Latin American,0.29247490392757
Latin American,Italian,0.29247490392757
Cambodian,Nail Salons,0.289732011299215
Nail Salons,Cambodian,0.289732011299215
Ethnic Food,Food Court,0.287432902738331
Food Court,Ethnic Food,0.287432902738331
Fishing,Hobby Shops,0.286810913257673
Hobby Shops,Fishing,0.286810913257673
Mediterranean,Vegetarian,0.283474261705102
Vegetarian,Mediterranean,0.283474261705102
Fitness & Instruction,Wine Bars,0.281660512285761
Wine Bars,Fitness & Instruction,0.281660512285761
Active Life,Filipino,0.281024153661546
Filipino,Active Life,0.281024153661546
Cuban,Dominican,0.280480975246907
Dominican,Cuban,0.280480975246907
Jazz & Blues,Meat Shops,0.279315189220794
Meat Shops,Jazz & Blues,0.279315189220794
Ethnic Food,Meat Shops,0.277694185259773
Meat Shops,Ethnic Food,0.277694185259773
Gelato,Shanghainese,0.270538378531367
Shanghainese,Gelato,0.270538378531367
Nail Salons,Personal Assistants,0.268729564158598
Personal Assistants,Nail Salons,0.268729564158598
Jazz & Blues,Latin American,0.268660056923419
Latin American,Jazz & Blues,0.268660056923419
Gelato,Persian/Iranian,0.268003934107389
Persian/Iranian,Gelato,0.268003934107389
Cooking Classes,Dive Bars,0.267007109766297
Dive Bars,Cooking Classes,0.267007109766297
